"genes"	"modules"
"COL11A1"	"M3"
"SPTLC3"	"M1"
"BCL2L15"	"M1"
"SPHK1"	"M1"
"ESPN"	"M4"
"CSF2RA"	"M2"
"LOC100132288"	"Not.Correlated"
"GPC6"	"M1"
"SCN9A"	"M4"
"TLR3"	"M1"
"SORCS2"	"M1"
"GATA6"	"M1"
"WNK2"	"M1"
"PKDCC"	"M1"
"ODZ4"	"M3"
"ADAMTS4"	"M1"
"FAM84A"	"M2"
"ELOVL6"	"M1"
"FAM50B"	"Not.Correlated"
"EMCN"	"M1"
"ACTG2"	"M1"
"ZNF714"	"M4"
"NUF2"	"M1"
"SCNN1G"	"M1"
"CPT1B"	"Not.Correlated"
"FAM65B"	"M1"
"PDGFD"	"M1"
"CACNA1D"	"M1"
"WDR52"	"M1"
"FNDC4"	"M3"
"MOCOS"	"M1"
"S100A8"	"M1"
"P2RY6"	"M1"
"COL17A1"	"M1"
"SCUBE2"	"M1"
"SUSD4"	"M1"
"CENPE"	"M1"
"APBA2"	"M3"
"ATP7B"	"M2"
"ANKRD56"	"M1"
"GSPT2"	"M1"
"COL4A5"	"M1"
"BEX2"	"Not.Correlated"
"BEND7"	"M1"
"MMP12"	"M1"
"GPR68"	"M3"
"CHRD"	"Not.Correlated"
"INPP4B"	"M1"
"SHCBP1"	"M1"
"TMTC1"	"M2"
"BMP4"	"M1"
"C2orf54"	"M1"
"HYAL1"	"M4"
"PLXNC1"	"M2"
"VILL"	"M1"
"ADORA2B"	"M1"
"C10orf81"	"M1"
"VIPR1"	"M1"
"PTPRN2"	"M1"
"KHDRBS3"	"M1"
"GALNT14"	"M1"
"DFNA5"	"M3"
"MSL3L2"	"M1"
"ZNF853"	"M3"
"HSPA2"	"M1"
"C11orf92"	"M1"
"XDH"	"M2"
"PCLO"	"Not.Correlated"
"PPP1R3C"	"M1"
"TFAP2A"	"M1"
"PLAC8"	"M1"
"ATAD3C"	"M1"
"ARHGAP33"	"M1"
"FAM134B"	"M1"
"SIDT1"	"M2"
"XKRX"	"M1"
"HSD11B2"	"M1"
"GLI3"	"M3"
"LRRC15"	"M3"
"PKP2"	"M1"
"AS3MT"	"M1"
"GSTT1"	"Not.Correlated"
"NMB"	"M4"
"SLIT2"	"M1"
"NDC80"	"M1"
"ESPL1"	"M1"
"PGF"	"M3"
"HABP2"	"M1"
"ACHE"	"M1"
"HSPB6"	"M1"
"AATK"	"M1"
"CHRDL1"	"M1"
"AMY2B"	"M1"
"DEPDC1"	"M1"
"RHBDL2"	"Not.Correlated"
"PRUNE2"	"M1"
"SLC47A1"	"M1"
"BMP8A"	"M3"
"CACNA1H"	"M1"
"LRP4"	"M2"
"HSD17B14"	"M1"
"PHYHD1"	"M1"
"GINS4"	"M1"
"TMEM150C"	"Not.Correlated"
"MACROD2"	"M1"
"NAALADL2"	"M1"
"ALDH1L2"	"M3"
"IGF2BP3"	"M1"
"ZNF750"	"M1"
"LOXL4"	"M1"
"RAD51AP1"	"M1"
"ARL4D"	"M1"
"PLUNC"	"Not.Correlated"
"CCNE2"	"M1"
"PNPLA7"	"M1"
"CAMK1D"	"M1"
"C20orf54"	"M1"
"NTM"	"M3"
"SOX2"	"M1"
"PCP4L1"	"M1"
"PRKD1"	"Not.Correlated"
"HOXB3"	"M1"
"ZNF626"	"M1"
"C6orf27"	"M1"
"GABRE"	"M2"
"CYP4X1"	"M1"
"ZNHIT2"	"Not.Correlated"
"KIAA1908"	"M1"
"FABP3"	"M2"
"NPR1"	"M1"
"ST6GALNAC2"	"M1"
"SNCG"	"M1"
"C21orf56"	"M1"
"RGMA"	"M1"
"WASF3"	"M1"
"IGF1"	"M1"
"FOXC1"	"M4"
"TMEM108"	"M1"
"RAB36"	"M1"
"CHI3L2"	"M1"
"ALDH3A1"	"M4"
"KCNMA1"	"M2"
"THRB"	"M1"
"PODNL1"	"M3"
"IGFBP6"	"M1"
"AURKB"	"M1"
"ELFN2"	"M1"
"SMPD3"	"M1"
"AGT"	"Not.Correlated"
"EDARADD"	"M1"
"C1QTNF3"	"M3"
"AK3L1"	"M1"
"MME"	"M3"
"AGPAT9"	"M4"
"KLF8"	"M2"
"TROAP"	"M1"
"ANGPT1"	"M1"
"RASGEF1A"	"Not.Correlated"
"APLN"	"M1"
"PKIB"	"M1"
"MFI2"	"M1"
"LGSN"	"M2"
"CDKN2A"	"M1"
"IPCEF1"	"M2"
"CCNO"	"Not.Correlated"
"CLDN18"	"M1"
"DTNA"	"Not.Correlated"
"VAV3"	"M1"
"SYT12"	"M4"
"CERKL"	"M1"
"HK3"	"M2"
"PYROXD2"	"M1"
"OASL"	"M2"
"LGI2"	"M3"
"CD27"	"M2"
"PBK"	"M1"
"FILIP1"	"M1"
"HOMER2"	"M1"
"TTK"	"M1"
"AQP9"	"M2"
"C1orf59"	"M1"
"CPXM1"	"M3"
"PRDM16"	"M1"
"FAM184A"	"M1"
"KIRREL"	"M3"
"SPINK5"	"M1"
"ITGB3"	"M3"
"SULT2B1"	"M1"
"C16orf45"	"M1"
"PADI2"	"M2"
"FPR1"	"M2"
"KIF18B"	"M1"
"ZNF704"	"M1"
"FAM167A"	"M1"
"PROM1"	"Not.Correlated"
"CD8A"	"M1"
"LOC399959"	"M3"
"SEMA3A"	"M1"
"RERG"	"M1"
"FAM189A2"	"M1"
"DNM1"	"M3"
"IRF4"	"M2"
"KIF14"	"M1"
"GTSE1"	"M1"
"ALDH3B2"	"M1"
"ZBTB7C"	"M1"
"FBXL16"	"M1"
"SCN1B"	"Not.Correlated"
"CRISPLD1"	"Not.Correlated"
"FMO3"	"M1"
"COL7A1"	"M1"
"CNN1"	"M1"
"GSTO2"	"Not.Correlated"
"STYK1"	"M1"
"CILP2"	"M3"
